2010-07-21 16:51:38 Notice: Notice (8): Use of undefined constant Router - assumed 'Router' in [/Users/jmashburn/Documents/Projects/Lance/app/config/routes.php, line 34]
2010-07-26 13:25:39 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:25:39 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:25:53 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:25:53 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:25:53 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:25:53 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:25:53 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:25:53 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:25:53 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:25:53 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:26:40 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:26:40 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:26:40 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:26:43 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:26:43 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:26:43 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:26:44 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:26:44 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:26:44 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:26:44 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:26:44 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:27:02 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:27:03 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:27:03 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:27:05 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:27:05 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:27:05 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:27:05 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:27:05 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:27:05 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:27:05 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:27:05 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:28:06 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:28:06 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:28:07 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:28:07 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:28:07 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:28:07 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:28:07 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:28:07 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:28:27 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:28:27 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:28:27 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:28:27 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:28:27 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:28:27 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:28:27 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:28:27 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:30:12 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:30:12 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:30:12 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:30:12 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:30:12 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:30:12 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:30:12 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:30:12 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:30:32 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:30:32 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:30:32 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:30:32 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:30:32 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:30:32 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:30:32 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:30:32 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:30:43 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:30:43 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:30:43 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:30:43 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:30:43 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:30:43 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:30:43 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:30:43 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:31:11 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:31:12 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:31:12 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:31:50 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:31:50 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:31:50 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:32:09 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:32:09 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:32:09 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:32:21 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:32:21 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:32:21 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:32:27 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:32:27 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:32:27 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:32:27 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:32:27 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:32:27 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:32:27 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:32:27 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:32:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:32:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:32:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:32:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:32:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:32:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:32:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:32:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:32:41 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:32:41 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:32:41 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:32:44 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:32:44 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:32:44 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:33:38 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:33:39 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:33:39 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:35:11 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:35:11 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:35:11 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:35:29 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:35:30 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:35:30 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:35:40 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:35:41 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:35:41 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:35:53 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:35:53 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:35:53 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:36:20 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:36:20 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:36:20 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:36:26 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:36:26 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:36:26 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:38:07 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:38:07 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:38:07 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:38:32 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:38:32 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:38:32 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:38:58 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:38:58 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:38:58 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:39:04 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:39:04 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:39:04 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:39:29 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:39:29 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:39:29 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:39:42 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:39:42 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:39:42 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:40:01 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:40:01 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:40:01 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:40:38 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:40:38 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:40:38 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:41:12 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:41:12 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:41:12 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:41:32 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:41:32 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:41:32 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:41:55 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:41:56 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:41:56 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:42:06 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:42:07 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:42:07 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:42:14 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:42:14 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:42:14 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:42:14 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:42:14 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:42:14 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:42:14 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:42:14 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:43:08 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
2010-07-26 13:43:08 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 13:43:08 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 13:43:10 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/themed/smart/layouts/admin.ctp, line 6]
